"","date","total"
"1",2021-04-08,5
"2",2021-03-22,11
"3",2021-03-18,16
"4",2021-03-15,21
"5",2021-03-04,7
"6",2021-03-01,7
"7",2021-02-25,21
"8",2021-02-22,5
"9",2021-02-11,46
"10",2021-02-08,48
"11",2021-02-04,28
"12",2021-02-01,27
"13",2021-01-28,37
"14",2021-01-25,64
"15",2021-01-21,40
"16",2021-01-18,110
"17",2021-01-14,88
"18",2021-01-11,88
"19",2021-01-07,88
"20",2021-01-04,22
"21",2020-12-31,39
"22",2020-12-28,25
"23",2020-12-24,152
"24",2020-12-21,63
"25",2020-12-17,101
"26",2020-12-14,205
"27",2020-12-10,102
"28",2020-12-07,112
"29",2020-12-03,30
"30",2020-11-30,50
"31",2020-11-26,51
"32",2020-11-23,42
"33",2020-11-19,51
"34",2020-11-16,61
"35",2020-11-12,59
"36",2020-11-09,39
"37",2020-11-05,62
"38",2020-11-02,54
"39",2020-10-29,61
"40",2020-10-26,53
"41",2020-10-22,33
"42",2020-10-19,30
"43",2020-10-15,56
"44",2020-10-12,46
"45",2020-10-08,50
"46",2020-10-05,56
"47",2020-10-01,50
"48",2020-09-28,18
"49",2020-09-24,33
"50",2020-09-17,35
"51",2020-09-14,44
"52",2020-09-09,65
"53",2020-09-07,71
"54",2020-09-03,46
"55",2020-08-31,101
"56",2020-08-27,95
"57",2020-08-24,67
"58",2020-08-17,116
"59",2020-08-13,144
"60",2020-08-10,187
"61",2020-08-07,197
"62",2020-08-03,240
"63",2020-07-31,247
"64",2020-07-27,191
"65",2020-07-24,225
"66",2020-07-20,272
"67",2020-07-13,367
"68",2020-07-06,508
"69",2020-07-03,646
"70",2020-06-25,716
"71",2020-06-21,491
"72",2020-06-18,441
"73",2020-06-14,538
"74",2020-06-08,459
"75",2020-06-05,419
"76",2020-06-02,338
"77",2020-05-29,236
"78",2020-05-26,183
"79",2020-05-22,124
"80",2020-05-19,90
