"","cleaned_company","n"
"1","tyson",281
"2","georges_poultry",41
"3","con_agra",40
"4","simmons_foods",40
"5","peco",37
"6","pilgrims_pride",23
"7","hytrol conveyor company",20
"8","butterball",19
"9","frito lay",19
"10","ok foods",18
"11","wayne farms",17
"12","cargill poultry",16
"13","twin rivers foods",12
"14","abb",9
"15","lennox industries",8
"16","nebo poultry",8
"17","southeast poultry",8
"18","lockheed martin",7
"19","riceland_foods",7
"20","evergreen packaging",6
"21","husqvarna",5
"22","kagome foods",5
"23","triumph_airborne_structures",5
"24","wilson brothers lumber co",5
"25","american greetings co.",4
"26","mckee foods",4
"27","unilever",4
"28","belleville_boot",3
"29","best manufacturing",3
"30","dassault falcon jet llc",3
"31","denso manufacturing",3
"32","dooley agri",3
"33","gates_corporation",3
"34","hino motors",3
"35","jw aluminum co.",3
"36","klein tools",3
"37","potlatchdeltic",3
"38","roach manufacturing",3
"39","rockline industries",3
"40","sykes enterprises call center",3
"41","textbook brokers",3
"42","vacation tour and travel",3
"43","apac-central",2
"44","arkansas glass container",2
"45","bell & company",2
"46","big river steel",2
"47","centene corporation",2
"48","claudia's canine bakery",2
"49","de wafelbakkers",2
"50","diamond pet foods",2
"51","dillards",2
"52","domtar paper co.",2
"53","global food group",2
"54","great dane trailers",2
"55","lamb & associates packaging",2
"56","land o'frost",2
"57","mahle engine components",2
"58","mclarty daniel chevrolet",2
"59","nice pak",2
"60","pace industries",2
"61","pine bluff fire and emergency",2
"62","producers rice mill inc",2
"63","radius aerospace",2
"64","rineco chemical industries",2
"65","roehm_america",2
"66","saracen_casino_construction",2
"67","spirit fitness",2
"68","tmc logistics",2
"69","walmart",2
"70","wapsi fly co.",2
"71","welspun pipes inc.",2
"72","west tree services",2
"73","adams fertilizer equipment",1
"74","aerojet rocketdyne",1
"75","alma tractor",1
"76","arkansas nuclear one",1
"77","big rock kangaroof",1
"78","city of camden",1
"79","clean harbors evnvironmental services",1
"80","consulate of mexico",1
"81","cooper tire",1
"82","custom craft poultry",1
"83","duke custom cabinets inc.",1
"84","first security bank",1
"85","greenbrier rail",1
"86","hooters",1
"87","jb hunt transport services",1
"88","k&k veterinary supply",1
"89","l'oreal manufacturing center",1
"90","la-z-boy furniture",1
"91","maynard inc.",1
"92","nabholz",1
"93","nestle",1
"94","nucor-yamato steel",1
"95","park hill collection warehouse",1
"96","pet solutions",1
"97","quality voices",1
"98","rheem manufacturing",1
"99","shelby group international inc.",1
"100","shippers products",1
"101","stephens inc.",1
"102","target",1
"103","tenneco inc.",1
"104","twin rivers paper",1
"105","utility trailer manufacturing co.",1
"106","weatherbarr windows & doors",1
"107","wilkerson's jewelry",1
"108","wilson combat scattergun tech",1
