"","cleaned_county","yearmon","county_total"
"1","---","2020-05",46
"2","arkansas","2020-07",20
"3","arkansas","2020-09",37
"4","arkansas","2020-10",61
"5","arkansas","2020-11",1
"6","arkansas","2021-01",26
"7","arkansas","2021-02",71
"8","baxter","2021-02",6
"9","baxter","2021-04",7
"10","benton","2020-05",98
"11","benton","2020-06",560
"12","benton","2020-07",183
"13","benton","2020-08",97
"14","benton","2020-11",30
"15","benton","2020-12",123
"16","benton","2021-01",98
"17","boone","2020-07",8
"18","boone","2020-08",1
"19","bradley","2020-12",17
"20","carroll","2020-06",35
"21","carroll","2020-07",47
"22","carroll","2020-08",12
"23","carroll","2020-09",19
"24","carroll","2020-10",76
"25","carroll","2020-11",68
"26","carroll","2020-12",129
"27","carroll","2021-01",38
"28","cleveland","2020-08",15
"29","craighead","2020-05",31
"30","craighead","2020-07",28
"31","craighead","2020-08",17
"32","craighead","2020-09",39
"33","craighead","2020-10",26
"34","craighead","2020-11",139
"35","craighead","2020-12",160
"36","craighead","2021-01",159
"37","craighead","2021-02",35
"38","crawford","2020-06",68
"39","crawford","2020-07",75
"40","crawford","2020-08",111
"41","crawford","2020-09",18
"42","crawford","2020-11",42
"43","crawford","2020-12",14
"44","crawford","2021-01",14
"45","crittenden","2020-06",16
"46","dallas","2020-12",13
"47","desha","2020-10",17
"48","faulkner","2020-10",13
"49","faulkner","2020-11",11
"50","franklin","2020-06",13
"51","franklin","2020-07",18
"52","garland","2020-08",25
"53","garland","2020-09",5
"54","greene","2020-10",21
"55","greene","2020-12",79
"56","hempstead","2020-08",32
"57","hempstead","2020-12",33
"58","hempstead","2021-01",25
"59","howard","2020-06",7
"60","howard","2020-07",39
"61","howard","2020-08",2
"62","howard","2020-10",28
"63","howard","2020-12",64
"64","howard","2021-01",40
"65","howard","2021-02",12
"66","independence","2020-07",35
"67","independence","2020-08",145
"68","independence","2020-09",27
"69","jefferson","2020-05",56
"70","jefferson","2020-07",36
"71","jefferson","2020-08",37
"72","jefferson","2020-09",31
"73","jefferson","2020-10",68
"74","jefferson","2020-11",11
"75","jefferson","2021-02",22
"76","johnson","2020-05",14
"77","johnson","2020-06",40
"78","johnson","2020-07",149
"79","johnson","2020-08",15
"80","johnson","2020-12",29
"81","johnson","2021-01",37
"82","johnson","2021-03",13
"83","little_river","2020-12",41
"84","madison","2020-05",10
"85","madison","2020-06",128
"86","madison","2020-07",18
"87","madison","2020-11",12
"88","miller","2020-10",29
"89","mississippi","2020-08",19
"90","mississippi","2020-09",16
"91","mississippi","2020-10",43
"92","mississippi","2020-11",34
"93","mississippi","2020-12",82
"94","mississippi","2021-01",18
"95","ouachita","2020-11",20
"96","ouachita","2020-12",16
"97","ouachita","2021-01",93
"98","ouachita","2021-02",8
"99","pike","2020-12",11
"100","poinsett","2020-10",17
"101","poinsett","2020-11",2
"102","polk","2020-06",28
"103","polk","2020-07",1
"104","pope","2020-06",75
"105","pope","2020-07",153
"106","pope","2020-08",71
"107","pope","2020-09",12
"108","pope","2020-10",20
"109","pope","2020-11",59
"110","pope","2020-12",265
"111","pope","2021-01",11
"112","pope","2021-02",11
"113","pulaski","2020-06",15
"114","pulaski","2020-07",6
"115","pulaski","2020-08",1
"116","pulaski","2020-10",7
"117","pulaski","2020-12",56
"118","pulaski","2021-01",97
"119","pulaski","2021-02",131
"120","randolph","2020-07",42
"121","randolph","2020-08",19
"122","randolph","2020-09",5
"123","randolph","2020-10",10
"124","randolph","2020-11",10
"125","randolph","2020-12",24
"126","saline","2020-11",12
"127","scott","2020-10",13
"128","scott","2020-11",23
"129","scott","2020-12",20
"130","scott","2021-01",37
"131","sebastian","2020-06",13
"132","sebastian","2020-07",174
"133","sebastian","2020-08",94
"134","sebastian","2020-10",35
"135","sebastian","2020-11",64
"136","sebastian","2020-12",74
"137","sebastian","2021-01",14
"138","sebastian","2021-02",138
"139","sebastian","2021-03",26
"140","sevier","2020-05",59
"141","sevier","2020-06",151
"142","sevier","2020-07",45
"143","sevier","2020-08",4
"144","sevier","2020-11",24
"145","st. francis","2020-05",35
"146","st. francis","2020-10",26
"147","union","2021-01",26
"148","van_buren","2020-08",8
"149","washington","2020-05",51
"150","washington","2020-06",611
"151","washington","2020-07",255
"152","washington","2020-08",29
"153","washington","2020-09",66
"154","washington","2020-10",17
"155","washington","2020-11",8
"156","washington","2020-12",165
"157","washington","2021-01",166
"158","washington","2021-02",24
"159","washington","2021-03",23
"160","white","2020-10",14
"161","yell","2020-05",71
"162","yell","2020-06",146
"163","yell","2020-07",127
"164","yell","2020-08",6
"165","yell","2020-12",82
"166","yell","2021-01",66
"167","yell, pope","2020-05",50
