"","cleaned_county","All_Worker_Covid_Cases"
"1","---",46
"2","arkansas",351
"3","baxter",13
"4","benton",3097
"5","boone",17
"6","bradley",17
"7","carroll",1533
"8","cleveland",15
"9","craighead",1261
"10","crawford",1491
"11","crittenden",16
"12","dallas",13
"13","desha",17
"14","faulkner",24
"15","franklin",44
"16","garland",45
"17","greene",100
"18","hempstead",187
"19","howard",457
"20","independence",403
"21","jefferson",472
"22","johnson",1317
"23","little_river",41
"24","madison",472
"25","miller",29
"26","mississippi",300
"27","ouachita",263
"28","pike",11
"29","poinsett",36
"30","polk",57
"31","pope",2495
"32","pulaski",417
"33","randolph",441
"34","saline",12
"35","scott",198
"36","sebastian",1237
"37","sevier",1066
"38","st. francis",61
"39","union",26
"40","van_buren",8
"41","washington",4797
"42","white",14
"43","yell",1484
