"","cleaned_county","county_total"
"1","---",46
"2","arkansas",216
"3","baxter",13
"4","benton",1189
"5","boone",9
"6","bradley",17
"7","carroll",424
"8","cleveland",16
"9","craighead",634
"10","crawford",342
"11","crittenden",16
"12","dallas",13
"13","desha",17
"14","faulkner",24
"15","franklin",31
"16","garland",30
"17","greene",100
"18","hempstead",90
"19","howard",195
"20","independence",207
"21","jefferson",261
"22","johnson",297
"23","little_river",41
"24","madison",168
"25","miller",29
"26","mississippi",212
"27","ouachita",137
"28","pike",11
"29","poinsett",19
"30","polk",29
"31","pope",715
"32","pulaski",314
"33","randolph",110
"34","saline",12
"35","scott",93
"36","sebastian",633
"37","sevier",283
"38","st. francis",61
"39","union",26
"40","van_buren",8
"41","washington",1321
"42","white",14
"43","yell",498
